Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
168.0,75.0,100.0,80.0,0.0,52.541,1.0547,71.908,400.0,0.9,0.0,0.0010337,11.406,28.197,79761.0,89582.0,6.4907,297.97,375.7,1.7242,10.0,1620.7,23.0,1655.0,1.1247,0.19332,28.15,24.427,1.6469,0.0,76.782,0.0,0.0,1.0,23.0,23.0,0.0,156550.0,156430.0
180.0,75.0,100.0,80.0,0.0,36.432,130.91,16.711,150.0,0.9,0.0,0.0011736,10.392,29.929,76279.0,85636.0,6.4964,298.08,418.4,1.6045,10.0,1722.1,23.0,1712.1,1.2847,0.19235,29.817,24.022,1.5319,0.0,75.263,0.0,0.0,1.0,23.0,23.0,0.0,165370.0,165770.0
192.0,75.0,100.0,80.0,0.0,46.568,30.049,1.0687,150.0,0.9,-4000.0,0.0014872,10.441,31.543,72302.0,81148.0,6.4953,297.86,338.37,1.4858,10.0,1809.1,23.0,1786.2,1.1561,0.19355,31.426,23.76,1.4181,0.0,76.914,0.0,0.0,1.0,23.0,23.0,0.0,172580.0,172490.0
204.0,65.0,100.0,80.0,0.0,45.351,14.889,79.934,250.0,0.9,0.0,0.0011163,10.896,32.781,75757.0,85155.0,6.5035,297.96,374.28,1.7228,4.0,1824.0,23.0,1842.5,1.164,0.19168,32.738,23.417,1.4261,0.0,76.973,0.0,0.0,1.0,23.0,23.0,0.0,178470.0,179230.0
216.0,65.0,100.0,80.0,0.0,61.789,52.321,7.7355,250.0,0.9,0.0,0.0014405,11.274,33.416,72990.0,81830.0,6.5195,297.93,362.2,1.5806,4.0,1571.6,23.0,1826.4,1.0554,0.1929,33.387,22.78,1.3079,0.0,72.46,0.0,0.0,1.0,23.0,23.0,0.0,180970.0,181230.0
228.0,65.0,100.0,80.0,0.0,54.366,0.91974,67.83,250.0,0.9,0.0,0.001718,11.382,33.821,77271.0,86649.0,6.497,297.96,370.67,1.5925,4.0,1365.1,23.0,1824.4,1.1578,0.19199,33.793,22.232,1.3177,0.0,68.029,0.0,0.0,1.0,23.0,23.0,0.0,183840.0,183600.0
240.0,65.0,100.0,80.0,0.0,47.67,41.698,1.1844,250.0,0.9,0.0,0.0016186,11.8,33.986,74615.0,83468.0,6.5065,297.87,336.92,1.4744,4.0,1195.4,23.0,1836.8,0.98612,0.19371,33.989,21.874,1.2196,0.0,63.865,0.0,0.0,1.0,23.0,23.0,0.0,184030.0,184130.0
252.0,60.0,100.0,80.0,0.0,26.638,6.6383,32.194,0.0,0.9,-4000.0,0.0030555,9.9648,34.18,71249.0,79585.0,6.5322,298.02,392.04,1.4822,4.0,1034.7,23.0,1864.0,1.4524,0.18857,34.115,21.735,1.1317,0.0,61.352,0.0,0.0,1.0,23.0,23.0,0.0,184330.0,184100.0
264.0,60.0,100.0,80.0,0.0,34.175,6.712,0.29152,0.0,0.9,0.0,0.0015474,9.7739,35.315,72314.0,81209.0,6.502,297.94,363.34,1.5034,4.0,706.28,23.0,1880.8,1.3777,0.18924,35.247,22.518,1.148,0.0,72.767,0.0,0.0,1.0,23.0,23.0,0.0,190580.0,190520.0
1.0,30.0,100.0,8.0,0.51828,17.673,52.713,5.1134,0.0,0.6,0.0,1.2728,14.644,0.00099765,57888.0,61620.0,6.5535,298.01,146.11,0.10715,5.0,1481.8,22.0,1628.1,-0.04974,0.2059,0.001,0.50974,0.040755,0.0,4.0821,0.0,0.0,1.0,24.0,24.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,70.981,258.37,0.0001,0.0,0.6,0.0,0.0085328,13.155,0.00096569,58152.0,62206.0,6.5588,297.91,118.9,0.36102,0.0,1578.4,30.0,1749.2,0.47682,0.19807,0.00096796,3.1365,0.19236,0.0,10.829,0.0,0.0,1.0,24.0,24.0,0.0,21525.0,21663.0
24.0,55.0,100.0,150.0,0.0,225.0,143.99,490.99,0.0,0.7,0.0,0.014806,10.128,0.00091213,59979.0,64689.0,6.4547,299.78,635.73,0.74155,0.0,1279.5,35.0,1755.2,1.698,0.18614,0.00091831,8.9365,0.51795,0.0,22.06,0.0,0.0,1.0,24.0,24.0,0.0,21683.0,21820.0
36.0,55.0,100.0,43.0,0.0,39.994,156.89,0.0001,0.0,0.9,0.0,0.0026891,12.643,1.522,60764.0,65999.0,6.4941,298.0,140.37,1.0206,0.0,818.73,35.0,1697.2,1.0734,0.19214,1.3982,12.76,0.7134,0.0,35.422,0.0,0.0,1.0,24.0,24.0,0.0,27763.0,27913.0
48.0,60.0,100.0,57.0,0.0,54.243,168.5,0.0001,0.0,1.1,0.0,0.0021148,13.115,3.8502,61799.0,67613.0,6.5051,298.02,146.01,1.1935,10.0,805.22,35.0,1752.0,1.3005,0.19057,3.6691,16.17,0.91055,0.0,49.509,0.0,0.0,1.0,24.0,24.0,0.0,38785.0,38455.0
60.0,60.0,100.0,72.0,0.0,67.795,44.293,0.0001,500.0,1.1,0.0,0.0019718,14.503,6.2668,68133.0,74584.0,6.4968,297.97,127.6,1.4601,10.0,1103.4,34.0,1758.1,1.2006,0.191,6.1081,18.188,1.1148,0.0,41.119,0.0,0.0,1.0,24.0,24.0,0.0,51050.0,50741.0
72.0,60.0,100.0,84.0,0.0,109.47,10.773,0.0001,500.0,1.1,0.0,0.0017287,15.494,8.5711,75959.0,83072.0,6.5009,298.0,140.6,1.7179,10.0,1308.8,31.0,1700.1,1.3802,0.18881,8.4239,19.319,1.3126,0.0,25.896,0.0,0.0,1.0,24.0,24.0,0.0,62327.0,62205.0
84.0,60.0,100.0,90.0,0.0,46.628,88.06,0.0001,100.0,1.1,0.0,0.001131,14.672,11.165,80447.0,88274.0,6.4893,298.0,136.71,1.9977,10.0,1367.8,23.0,1657.5,1.843,0.18387,10.991,21.275,1.5278,0.0,27.237,0.0,0.0,1.0,24.0,24.0,0.0,74790.0,74358.0
96.0,75.0,100.0,90.0,0.0,65.708,3.9999,0.0001,100.0,1.1,0.0,0.00078131,14.789,13.546,83093.0,91515.0,6.509,297.97,124.33,1.746,10.0,1461.4,23.0,1665.3,1.698,0.18896,13.406,22.573,1.6678,0.0,36.345,0.0,0.0,1.0,24.0,24.0,0.0,85638.0,85560.0
108.0,75.0,100.0,90.0,0.0,57.374,8.2488,0.0001,100.0,1.0,0.0,0.00081561,13.335,15.708,78630.0,86648.0,6.5003,297.99,135.02,1.7085,10.0,1587.3,23.0,1701.3,1.6508,0.18939,15.565,23.433,1.6318,0.0,45.279,0.0,0.0,1.0,24.0,24.0,0.0,96414.0,97021.0
120.0,75.0,100.0,90.0,0.0,55.584,6.2997,1.0584,100.0,1.0,0.0,0.00084926,12.81,17.829,81363.0,89954.0,6.5026,297.97,127.54,1.8039,10.0,1705.2,23.0,1737.9,1.8485,0.18771,17.686,24.079,1.7234,0.0,53.955,0.0,0.0,1.0,24.0,24.0,0.0,106990.0,107280.0
132.0,75.0,100.0,90.0,0.0,52.246,7.4195,1.7334,100.0,1.0,-4000.0,0.00085823,12.653,19.746,77016.0,85179.0,6.4963,297.95,121.1,1.7303,10.0,1827.7,23.0,1784.5,1.5786,0.18989,19.614,24.487,1.6527,0.0,62.225,0.0,0.0,1.0,24.0,24.0,0.0,115580.0,115890.0
144.0,75.0,100.0,90.0,0.0,74.537,22.346,4.4981,100.0,1.0,0.0,0.00072792,12.869,21.669,79798.0,88562.0,6.5072,297.95,120.23,1.7885,10.0,1963.3,23.0,1836.3,1.3517,0.19149,21.557,24.76,1.7087,0.0,69.888,0.0,0.0,1.0,24.0,24.0,0.0,125200.0,124860.0
156.0,75.0,100.0,90.0,0.0,71.344,22.818,0.53469,0.0,0.9,0.0,0.00078861,11.621,23.244,74941.0,83260.0,6.5394,297.94,117.91,1.6608,10.0,2187.6,23.0,1934.2,1.2048,0.19284,23.12,24.713,1.586,0.0,79.044,0.0,0.0,1.0,24.0,24.0,0.0,132600.0,133100.0
168.0,75.0,100.0,80.0,0.0,16.892,10.157,86.921,400.0,0.9,0.0,1.6379,14.267,23.552,79581.0,88453.0,6.4801,298.05,158.78,1.6691,10.0,2551.9,23.0,2059.6,0.49472,0.19812,23.71,23.821,1.594,0.0,75.756,0.0,0.0,1.0,24.0,24.0,0.0,133470.0,133150.0
180.0,75.0,100.0,80.0,0.0,4.2099,41.139,6.4709,150.0,0.9,0.0,9.3737,13.402,21.939,75681.0,84075.0,6.5045,297.94,117.98,1.5009,10.0,3381.8,23.0,2406.8,0.8461,0.19584,22.034,22.829,1.4326,0.0,73.749,0.0,0.0,1.0,24.0,24.0,0.0,125400.0,126060.0
192.0,75.0,100.0,80.0,3.6291,0.0,52.56,1.0614,150.0,0.9,-4000.0,16.669,13.491,20.566,71261.0,79180.0,6.6867,297.94,116.69,1.3445,10.0,4144.0,23.0,2736.4,0.72813,0.19703,20.656,22.072,1.2828,0.0,75.154,0.0,0.0,1.0,24.0,24.0,0.0,118970.0,119280.0
204.0,65.0,100.0,80.0,0.0,7.2257,12.426,109.67,250.0,0.9,0.0,25.353,13.869,19.142,74235.0,82721.0,6.4967,298.1,173.27,1.5046,4.0,4774.1,23.0,3016.7,0.64061,0.19663,19.245,21.209,1.2447,0.0,74.885,0.0,0.0,1.0,24.0,24.0,0.0,111310.0,111610.0
216.0,65.0,100.0,80.0,0.0,15.539,18.497,147.06,250.0,0.9,0.0,34.421,14.134,17.646,70904.0,79016.0,6.4998,298.21,208.78,1.3322,4.0,4982.8,23.0,3149.7,0.56972,0.19759,17.744,20.167,1.1015,0.0,70.11,0.0,0.0,1.0,24.0,24.0,0.0,104360.0,104480.0
228.0,65.0,100.0,80.0,0.0,7.3938,38.78,6.7022,250.0,0.9,0.0,42.145,14.407,16.257,74616.0,83285.0,6.5079,297.87,91.006,1.291,4.0,5172.4,23.0,3268.0,0.57519,0.19762,16.345,19.161,1.0673,0.0,65.215,0.0,0.0,1.0,24.0,24.0,0.0,96430.0,96871.0
230.0,65.0,100.0,80.0,0.0,3.6639,52.598,8.0666,250.0,0.9,0.0,43.364,14.473,16.041,75231.0,83992.0,6.4965,297.88,95.571,1.2837,4.0,5200.0,23.0,3285.9,0.54944,0.19786,16.127,19.003,1.0613,0.0,64.388,0.0,0.0,1.0,24.0,24.0,0.0,96352.0,96791.0
1.0,30.0,100.0,8.0,0.0,15.334,43.58,4.5892,0.0,0.6,0.0,1.4103,14.605,0.00099778,56849.0,62059.0,6.5345,297.96,89.763,0.10371,5.0,1408.4,22.0,1766.9,-0.097169,0.20678,0.001,0.50257,0.039444,0.0,4.0817,0.0,0.0,1.0,25.0,25.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,46.772,113.08,0.0001,0.0,0.6,0.0,2.6377,12.113,0.00096668,57032.0,62563.0,6.511,298.11,129.44,0.26867,0.0,1542.1,30.0,1903.3,0.56669,0.19704,0.00096921,2.2725,0.14312,0.0,10.418,0.0,0.0,1.0,25.0,25.0,0.0,21555.0,21193.0
24.0,55.0,100.0,150.0,0.0,225.0,212.81,0.0001,0.0,0.7,0.0,0.017588,7.9,0.00090224,59219.0,65437.0,6.4336,297.99,96.021,0.75629,0.0,1184.4,35.0,1875.8,1.7779,0.18527,0.0009084,9.2348,0.52826,0.0,21.979,0.0,0.0,1.0,25.0,25.0,0.0,21229.0,21033.0
36.0,55.0,100.0,43.0,0.0,34.234,69.974,0.0001,0.0,0.9,0.0,0.0024575,11.26,1.3289,59981.0,66706.0,6.4971,297.99,95.765,1.0261,0.0,763.1,35.0,1833.4,0.98108,0.19308,1.2082,13.03,0.71726,0.0,35.864,0.0,0.0,1.0,25.0,25.0,0.0,27880.0,28028.0
48.0,60.0,100.0,57.0,0.0,51.442,64.367,0.0001,0.0,1.1,0.0,0.0022321,11.404,3.386,60852.0,68115.0,6.4955,297.99,95.621,1.1735,10.0,792.99,35.0,1913.5,1.1459,0.19208,3.2309,16.15,0.89525,0.0,50.244,0.0,0.0,1.0,25.0,25.0,0.0,37094.0,36927.0
60.0,60.0,100.0,72.0,0.0,57.415,3.6851,0.0001,500.0,1.1,0.0,0.0020199,13.364,5.4681,67177.0,75010.0,6.4833,297.99,94.566,1.398,10.0,1140.3,34.0,1932.5,1.0018,0.193,5.3329,17.66,1.0672,0.0,41.95,0.0,0.0,1.0,25.0,25.0,0.0,47245.0,47096.0
72.0,60.0,100.0,84.0,0.0,75.67,26.711,4.067,500.0,1.1,0.0,0.0015459,14.869,7.4891,74761.0,83164.0,6.5032,297.95,81.274,1.5963,10.0,1391.4,31.0,1887.0,1.0859,0.19182,7.3593,18.252,1.2193,0.0,26.583,0.0,0.0,1.0,25.0,25.0,0.0,56661.0,56697.0
84.0,60.0,100.0,90.0,0.0,42.835,58.495,0.00069644,100.0,1.1,0.0,0.0011166,14.013,9.718,78821.0,87788.0,6.4912,298.01,103.76,1.775,10.0,1542.4,23.0,1882.6,1.4156,0.18836,9.578,19.29,1.3565,0.0,27.495,0.0,0.0,1.0,25.0,25.0,0.0,68368.0,68923.0
96.0,75.0,100.0,90.0,0.0,83.363,18.355,0.0001,100.0,1.1,0.0,0.001319,13.715,11.99,81498.0,90999.0,6.5089,297.97,89.16,1.5399,10.0,1670.4,23.0,1898.6,1.3161,0.19224,11.839,20.241,1.4701,0.0,35.938,0.0,0.0,1.0,25.0,25.0,0.0,79211.0,79452.0
108.0,75.0,100.0,90.0,0.0,41.494,25.368,0.0001,100.0,1.0,0.0,0.0012867,12.081,14.212,76997.0,86094.0,6.5039,298.02,106.69,1.5099,10.0,1792.1,23.0,1922.0,1.3166,0.1923,14.057,21.091,1.4413,0.0,44.241,0.0,0.0,1.0,25.0,25.0,0.0,89813.0,89908.0
120.0,75.0,100.0,90.0,0.0,36.433,1.236,0.11116,100.0,1.0,0.0,0.0010385,11.651,16.483,79598.0,89260.0,6.5145,297.95,82.115,1.6067,10.0,1887.9,23.0,1939.5,1.4748,0.19091,16.341,21.882,1.5341,0.0,52.376,0.0,0.0,1.0,25.0,25.0,0.0,100650.0,100770.0
132.0,75.0,100.0,90.0,0.0,38.403,5.29,1.2191,100.0,1.0,-4000.0,0.0012294,11.161,18.576,75055.0,84289.0,6.5243,297.96,84.898,1.5402,10.0,1987.3,23.0,1971.7,1.3208,0.1922,18.427,22.32,1.4703,0.0,60.139,0.0,0.0,1.0,25.0,25.0,0.0,110630.0,111100.0
144.0,75.0,100.0,90.0,0.0,30.87,22.28,0.62279,100.0,1.0,0.0,0.00077342,11.459,20.529,77494.0,87296.0,6.4997,297.93,73.231,1.5916,10.0,2124.9,23.0,2022.4,1.1704,0.19323,20.422,22.649,1.5196,0.0,67.334,0.0,0.0,1.0,25.0,25.0,0.0,119430.0,119410.0
156.0,75.0,100.0,90.0,0.0,32.518,14.401,0.35873,0.0,0.9,0.0,0.0012561,9.6728,22.265,72291.0,81642.0,6.4915,297.96,83.372,1.4758,10.0,2341.3,23.0,2116.3,1.1711,0.19346,22.106,22.704,1.4085,0.0,75.945,0.0,0.0,1.0,25.0,25.0,0.0,127650.0,127980.0
168.0,75.0,100.0,80.0,0.0,3.7974,80.062,12.08,400.0,0.9,0.0,4.5695,13.171,21.774,76492.0,86400.0,6.4888,297.94,78.786,1.4757,10.0,2866.3,23.0,2312.5,0.60114,0.19772,21.924,21.88,1.4085,0.0,72.502,0.0,0.0,1.0,25.0,25.0,0.0,125640.0,126300.0
180.0,75.0,100.0,80.0,0.0,7.3375,28.257,205.49,150.0,0.9,0.0,12.81,12.441,20.25,72552.0,82006.0,6.5113,298.36,227.37,1.3219,10.0,3657.1,23.0,2644.7,0.66413,0.19756,20.341,20.938,1.2611,0.0,70.647,0.0,0.0,1.0,25.0,25.0,0.0,117520.0,117160.0
192.0,75.0,100.0,80.0,3.6298,0.0,94.859,11.999,150.0,0.9,-4000.0,20.454,12.639,18.959,68086.0,77086.0,6.6772,298.02,107.01,1.1797,10.0,4371.7,23.0,2962.9,0.47094,0.19928,19.044,20.22,1.1249,0.0,72.207,0.0,0.0,1.0,25.0,25.0,0.0,111010.0,110980.0
204.0,65.0,100.0,80.0,0.0,6.4458,9.005,88.66,250.0,0.9,0.0,28.472,12.981,17.613,71060.0,80586.0,6.5041,298.06,121.9,1.3203,4.0,4977.6,23.0,3229.8,0.50357,0.19818,17.711,19.395,1.0916,0.0,72.091,0.0,0.0,1.0,25.0,25.0,0.0,103760.0,104040.0
216.0,65.0,100.0,80.0,0.0,8.7698,56.196,7.2163,250.0,0.9,0.0,36.325,13.359,16.194,67731.0,76841.0,6.4872,297.98,93.873,1.1646,4.0,5152.4,23.0,3343.2,0.41114,0.19929,16.286,18.393,0.96249,0.0,67.461,0.0,0.0,1.0,25.0,25.0,0.0,97699.0,97808.0
228.0,65.0,100.0,80.0,0.0,13.553,55.353,7.785,250.0,0.9,0.0,43.324,13.69,14.874,71495.0,81118.0,6.5029,297.93,77.332,1.1292,4.0,5317.1,23.0,3441.7,0.42722,0.19922,14.957,17.423,0.93314,0.0,62.7,0.0,0.0,1.0,25.0,25.0,0.0,90129.0,90393.0
240.0,65.0,100.0,80.0,0.0,14.008,80.524,9.8305,250.0,0.9,0.0,50.884,14.036,13.65,68162.0,77386.0,6.496,297.92,74.644,0.98696,4.0,5471.4,23.0,3528.3,0.32545,0.20038,13.729,16.494,0.81524,0.0,57.811,0.0,0.0,1.0,25.0,25.0,0.0,84033.0,83952.0
252.0,60.0,100.0,80.0,4.1476,0.015455,49.15,6.732,0.0,0.9,-4000.0,57.927,13.35,12.63,64331.0,73154.0,6.7008,297.88,65.126,0.92986,4.0,5616.7,23.0,3612.2,0.44998,0.1991,12.664,15.693,0.70889,0.0,54.293,0.0,0.0,1.0,25.0,25.0,0.0,78899.0,79475.0
261.0,60.0,100.0,80.0,0.0,3.3504,68.055,1.148,0.0,0.9,0.0,65.87,13.162,12.229,64914.0,74141.0,6.4886,297.94,81.518,0.89694,4.0,5820.8,23.0,3753.4,0.45209,0.19915,12.264,15.553,0.68372,0.0,61.749,0.0,0.0,1.0,25.0,25.0,0.0,76717.0,76289.0
1.0,30.0,100.0,8.0,1.5677,0.0,72.437,6.8703,0.0,0.6,0.0,1.3666,14.647,0.00099815,57805.0,62442.0,6.5526,298.02,216.09,0.10788,5.0,1390.4,22.0,1608.6,-0.057938,0.20605,0.001,0.51841,0.041032,0.0,4.0825,0.0,0.0,1.0,26.0,26.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,48.078,244.72,0.0001,0.0,0.6,0.0,0.73934,11.786,0.00096721,57974.0,62935.0,6.4906,298.18,259.38,0.33578,0.0,1499.6,30.0,1735.1,0.9892,0.19114,0.00096969,2.8424,0.1789,0.0,10.733,0.0,0.0,1.0,26.0,26.0,0.0,21027.0,20998.0
24.0,55.0,100.0,150.0,0.0,225.0,269.81,0.0001,0.0,0.7,0.0,0.016231,9.531,0.00091,59764.0,65398.0,6.4427,298.03,218.28,0.75575,0.0,1182.1,35.0,1735.6,1.8096,0.18493,0.00091617,9.143,0.52789,0.0,22.172,0.0,0.0,1.0,26.0,26.0,0.0,20681.0,20485.0
36.0,55.0,100.0,43.0,0.0,44.891,126.81,0.0001,0.0,0.9,0.0,0.0026338,12.327,1.6855,60519.0,66670.0,6.5017,298.02,215.12,1.027,0.0,696.75,35.0,1667.9,1.1336,0.1915,1.5509,12.91,0.71789,0.0,35.751,0.0,0.0,1.0,26.0,26.0,0.0,29558.0,29543.0
48.0,60.0,100.0,57.0,0.0,40.102,141.32,0.0001,0.0,1.1,0.0,0.0022425,12.661,4.0867,61397.0,68113.0,6.499,297.96,196.52,1.1911,10.0,706.35,35.0,1717.3,1.3122,0.19046,3.9036,16.24,0.90871,0.0,49.956,0.0,0.0,1.0,26.0,26.0,0.0,39936.0,39442.0
60.0,60.0,100.0,72.0,0.0,56.949,99.673,0.0001,500.0,1.1,0.0,0.0021098,14.079,6.436,67604.0,74968.0,6.5056,298.04,218.24,1.472,10.0,1037.5,34.0,1724.3,1.1803,0.19117,6.2786,18.469,1.124,0.0,41.673,0.0,0.0,1.0,26.0,26.0,0.0,51870.0,51897.0
72.0,60.0,100.0,84.0,0.0,75.146,133.07,0.0001,500.0,1.1,0.0,0.0018109,14.885,8.7463,75100.0,83165.0,6.5001,298.02,211.91,1.7671,10.0,1235.6,31.0,1663.2,1.4935,0.18764,8.596,20.09,1.3504,0.0,26.652,0.0,0.0,1.0,26.0,26.0,0.0,63174.0,63554.0
84.0,60.0,100.0,90.0,0.0,58.575,277.85,0.0001,100.0,1.1,0.0,0.0011224,14.12,11.415,79492.0,88284.0,6.4899,298.1,239.32,2.0583,10.0,1269.0,23.0,1611.8,1.8919,0.18329,11.239,22.196,1.5744,0.0,28.294,0.0,0.0,1.0,26.0,26.0,0.0,76499.0,76903.0
96.0,75.0,100.0,90.0,0.0,56.455,82.741,0.00010013,100.0,1.1,0.0,0.00082116,14.301,13.849,82202.0,91590.0,6.4898,298.02,207.45,1.7923,10.0,1323.5,23.0,1610.7,1.6203,0.18946,13.695,23.417,1.7122,0.0,37.64,0.0,0.0,1.0,26.0,26.0,0.0,88104.0,88028.0
108.0,75.0,100.0,90.0,0.0,63.238,12.16,0.0001,100.0,1.0,0.0,0.00087679,12.946,16.172,77824.0,86812.0,6.5066,297.99,194.95,1.7511,10.0,1391.9,23.0,1627.8,1.4251,0.19101,16.019,24.269,1.6727,0.0,46.791,0.0,0.0,1.0,26.0,26.0,0.0,99166.0,99444.0
120.0,75.0,100.0,90.0,0.0,45.057,2.121,21.261,100.0,1.0,0.0,0.00067646,12.75,18.229,80430.0,89976.0,6.5075,297.97,189.14,1.8392,10.0,1493.3,23.0,1667.6,1.4574,0.19059,18.101,24.845,1.7573,0.0,55.651,0.0,0.0,1.0,26.0,26.0,0.0,108930.0,108720.0
132.0,75.0,100.0,90.0,0.0,61.05,0.0001,13.491,100.0,1.0,-4000.0,0.00095033,12.156,20.149,76019.0,85116.0,6.496,297.96,185.22,1.7519,10.0,1612.3,23.0,1717.3,1.4698,0.19067,19.994,25.11,1.6735,0.0,63.99,0.0,0.0,1.0,26.0,26.0,0.0,117530.0,117670.0
144.0,75.0,100.0,90.0,0.0,56.312,5.5334,41.63,100.0,1.0,0.0,0.00068183,12.188,22.247,78782.0,88483.0,6.5004,297.95,181.23,1.8063,10.0,1698.5,23.0,1752.1,1.5159,0.19022,22.119,25.325,1.7258,0.0,71.705,0.0,0.0,1.0,26.0,26.0,0.0,127510.0,128170.0
156.0,75.0,100.0,90.0,0.0,61.835,16.403,0.33208,0.0,0.9,0.0,0.0010408,10.534,24.367,73925.0,83216.0,6.5099,297.97,187.39,1.682,10.0,1791.0,23.0,1804.4,1.5717,0.19004,24.198,25.351,1.6063,0.0,80.908,0.0,0.0,1.0,26.0,26.0,0.0,137570.0,137920.0
168.0,75.0,100.0,80.0,0.0,95.502,0.79314,67.698,400.0,0.9,0.0,0.0012207,12.589,25.658,79242.0,89138.0,6.4955,297.96,184.8,1.7081,10.0,1964.4,23.0,1847.4,1.1613,0.19307,25.595,24.443,1.6314,0.0,77.846,0.0,0.0,1.0,26.0,26.0,0.0,143760.0,144450.0
180.0,75.0,100.0,80.0,0.0,145.08,0.13175,0.0001,150.0,0.9,0.0,0.0015678,11.895,27.295,76613.0,86073.0,6.5099,297.87,154.68,1.5943,10.0,2055.1,23.0,1880.0,1.3049,0.19222,27.195,23.873,1.5222,0.0,76.192,0.0,0.0,1.0,26.0,26.0,0.0,152080.0,152130.0
192.0,75.0,100.0,80.0,0.0,53.871,28.062,4.4806,150.0,0.9,-4000.0,0.0017127,11.525,28.781,73413.0,82437.0,6.4466,297.94,178.51,1.4922,10.0,2138.1,23.0,1930.7,1.3572,0.19202,28.666,23.603,1.4243,0.0,78.185,0.0,0.0,1.0,26.0,26.0,0.0,158140.0,158190.0
204.0,65.0,100.0,80.0,0.0,99.679,0.9305,70.541,250.0,0.9,0.0,0.0016258,12.042,29.755,77581.0,87200.0,6.4833,297.95,182.88,1.7417,4.0,2177.8,23.0,1977.8,1.2257,0.19111,29.711,23.241,1.4418,0.0,78.616,0.0,0.0,1.0,26.0,26.0,0.0,163720.0,164450.0
216.0,65.0,100.0,80.0,0.0,225.0,148.23,18.935,250.0,0.9,0.0,0.0016174,12.854,30.032,75776.0,84912.0,6.5007,298.08,231.47,1.6157,4.0,1956.0,23.0,1950.5,1.0141,0.19319,30.049,22.594,1.337,0.0,74.545,0.0,0.0,1.0,26.0,26.0,0.0,163930.0,164160.0
228.0,65.0,100.0,80.0,0.0,199.0,81.145,12.192,250.0,0.9,0.0,0.0013689,13.083,30.139,80844.0,90542.0,6.4684,298.0,201.08,1.6315,4.0,1779.0,23.0,1941.5,1.1282,0.19217,30.152,21.964,1.3502,0.0,70.452,0.0,0.0,1.0,26.0,26.0,0.0,164810.0,165380.0
230.0,65.0,100.0,80.0,0.0,121.25,52.781,8.1757,250.0,0.9,0.0,0.0014637,12.848,30.101,81807.0,91596.0,6.5262,297.95,181.0,1.6327,4.0,1761.4,23.0,1942.5,1.1847,0.19168,30.103,21.823,1.3512,0.0,69.747,0.0,0.0,1.0,26.0,26.0,0.0,164110.0,164000.0
1.0,30.0,100.0,8.0,0.0,18.198,98.041,9.0106,0.0,0.6,0.0,1.0726,14.632,0.00099777,58121.0,62219.0,6.5336,298.06,326.14,0.11105,5.0,1337.9,22.0,1742.8,-0.050701,0.20591,0.001,0.5364,0.042237,0.0,4.0835,0.0,0.0,1.0,27.0,27.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,103.0,130.8,0.0001,0.0,0.6,0.0,0.0096374,13.02,0.00096221,58575.0,62996.0,6.5603,297.91,285.84,0.35295,0.0,1422.4,30.0,1857.0,0.52919,0.19738,0.00096556,3.0309,0.18806,0.0,10.837,0.0,0.0,1.0,27.0,27.0,0.0,21508.0,21479.0
24.0,55.0,100.0,150.0,0.0,225.0,312.97,0.0001,0.0,0.7,0.0,0.017112,9.0513,0.00089918,60746.0,65877.0,6.3947,298.1,337.02,0.77376,0.0,1104.6,35.0,1841.1,1.9861,0.18303,0.00090524,9.1778,0.54049,0.0,22.111,0.0,0.0,1.0,27.0,27.0,0.0,20647.0,20784.0
36.0,55.0,100.0,43.0,0.0,82.719,104.86,0.0001,0.0,0.9,0.0,0.0026037,12.039,1.4594,61959.0,67635.0,6.5176,298.03,314.51,1.0709,0.0,646.47,35.0,1770.5,1.2457,0.19025,1.3369,13.156,0.74865,0.0,35.773,0.0,0.0,1.0,27.0,27.0,0.0,28399.0,28381.0
